name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,4937000,0.501740864,0.2953,1.19E-04,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,106X_mcRun2_asymptotic_v17,FALSE,POWHEG,NONE,2016postVFP
ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,4999143,0.225212704,0.1298,1.15E-04,/ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,106X_mcRun2_asymptotic_v17,FALSE,POWHEG,NONE,2016postVFP
ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,4993966,0.053953051,0.0314,1.17E-04,/ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,106X_mcRun2_asymptotic_v17,FALSE,POWHEG,NONE,2016postVFP
TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM ,144974000,301.0089886,365.46,8.37E-06,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,106X_mcRun2_asymptotic_v17,FALSE,POWHEG,NONE,2016postVFP
TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,43630000,72.07778445,88.34,2.81E-05,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,106X_mcRun2_asymptotic_v17,FALSE,POWHEG,NONE,2016postVFP
SingleElectronF,/SingleElectron/Run2016F-UL2016_MiniAODv2-v2/MINIAOD,8858206,1,1,1.13E-04,/SingleElectron/Run2016F-UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016postVFP
SingleElectronG,/SingleElectron/Run2016G-UL2016_MiniAODv2-v2/MINIAOD,153363109,1,1,6.52E-06,/SingleElectron/Run2016G-UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016postVFP
SingleElectronH,/SingleElectron/Run2016H-UL2016_MiniAODv2-v2/MINIAOD,129021893,1,1,7.75E-06,/SingleElectron/Run2016H-UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016postVFP
SingleMuonF,/SingleMuon/Run2016F-UL2016_MiniAODv2-v2/MINIAOD,8024195,1,1,1.25E-04,/SingleMuon/Run2016F-UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016postVFP
SingleMuonG,/SingleMuon/Run2016G-UL2016_MiniAODv2-v2/MINIAOD,149916849,1,1,6.67E-06,/SingleMuon/Run2016G-UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016postVFP
SingleMuonH,/SingleMuon/Run2016H-UL2016_MiniAODv2-v2/MINIAOD,174035164,1,1,5.75E-06,/SingleMuon/Run2016H-UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016postVFP
TTHHTo4b_5f_LO_TuneCP5_13TeV_madgraph_pythia8,/TTHHTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM ,4798000,1,0.000262872,5.48E-08,/TTHHTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,106X_mcRun2_asymptotic_v17,FALSE,MadGraph,NONE,2016postVFP
TT4b_TuneCP5_13TeV_madgraph_pythia8,/TT4b_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,4848000,1,0.296,6.11E-05,/TT4b_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,106X_mcRun2_asymptotic_v17,FALSE,MadGraph,NONE,2016postVFP
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,3337118,21.59700859,2.41658109,3.35E-05,/TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,106X_mcRun2_asymptotic_v17,FALSE,POWHEG,NONE,2016postVFP
TTbb_4f_TTTo2L2Nu_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTTo2L2Nu_TuneCP5-Powheg-Openloops-Pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,1571799,4.585251847,0.584159455,8.11E-05,/TTbb_4f_TTTo2L2Nu_TuneCP5-Powheg-Openloops-Pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,106X_mcRun2_asymptotic_v17,FALSE,POWHEG,NONE,2016postVFP
TTZZTo4b_5f_LO_TuneCP5_13TeV_madgraph_pythia8,/TTZZTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,2468000,1,2.25E-05,9.12E-09,/TTZZTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,106X_mcRun2_asymptotic_v17,FALSE,MadGraph,NONE,2016postVFP
TTZZTo4b_5f_LO_TuneCP5_13TeV_madgraph_pythia8_Ext,/TTZZTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17_ext1-v2/MINIAODSIM,2500000,1,2.28E-05,9.12E-09,/TTZZTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17_ext1-v2/MINIAODSIM,106X_mcRun2_asymptotic_v17,FALSE,MadGraph,NONE,2016postVFP
TTZToBB_TuneCP5_13TeV-amcatnlo-pythia8,/TTZToBB_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,3200000,0.112302085,0.130032,0.000361837,/TTZToBB_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,106X_mcRun2_asymptotic_v17,FALSE,aMC,NONE,2016postVFP
TTZHTo4b_TuneCP5_13TeV-madgraph-pythia8,/TTZHTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,2500000,1,6.70E-05,2.68E-08,/TTZHTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,106X_mcRun2_asymptotic_v17,FALSE,MadGraph,NONE,2016postVFP
TTZHTo4b_TuneCP5_13TeV-madgraph-pythia8_Ext,/TTZHTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17_ext1-v2/MINIAODSIM,2500000,1,6.70E-05,2.68E-08,/TTZHTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17_ext1-v2/MINIAODSIM,106X_mcRun2_asymptotic_v17,FALSE,MadGraph,NONE,2016postVFP
