name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,7825000,0.501251936,0.2953,7.53E-05,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,106X_mc2017_realistic_v9,FALSE,POWHEG,NONE,2017
ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM ,9992000,0.225212704,0.1298,5.77E-05,/ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM ,106X_mc2017_realistic_v9,FALSE,POWHEG,NONE,2017
ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,9997000,0.053953051,0.0314,5.82E-05,/ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,106X_mc2017_realistic_v9,FALSE,POWHEG,NONE,2017
,,,,,,,,,,,
TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v1/MINIAODSIM,11844400,301.0089886,365.46,1.03E-04,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v1/MINIAODSIM,106X_mc2017_realistic_v9,FALSE,POWHEG,NONE,2017
TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v1/MINIAODSIM,7114933,72.07778445,88.34,1.72E-04,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v1/MINIAODSIM,106X_mc2017_realistic_v9,FALSE,POWHEG,NONE,2017
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SingleElectronB,/SingleElectron/Run2017B-UL2017_MiniAODv2-v1/MINIAOD ,60537490,1,1,1.65E-05,/SingleElectron/Run2017B-UL2017_MiniAODv2-v1/MINIAOD,106X_dataRun2_v36,TRUE,notSpecified,NONE,2017
SingleElectronC,/SingleElectron/Run2017C-UL2017_MiniAODv2-v1/MINIAOD ,136637888,1,1,7.32E-06,/SingleElectron/Run2017C-UL2017_MiniAODv2-v1/MINIAOD,106X_dataRun2_v36,TRUE,notSpecified,NONE,2017
